"","log2FoldChange","logCPM","PValue","FDR","Symbol"
"PTPRC",1.81609387213397,6.23432644879636,7.13578611285209e-10,1.66151568108577e-07,"PTPRC"
"KIT",1.28248686773031,5.92084371609866,0.000110494983003996,0.00413319049240399,"KIT"
"BTK",1.27172817098457,5.9085221873442,0.000150488204833248,0.00531272073042487,"BTK"
"ZFP36",1.23807046693268,6.65072334796328,9.303769154953e-08,1.03102678180797e-05,"ZFP36"
"LYN",1.1567218829693,6.02909090336687,0.00014253256632344,0.00513687369029677,"LYN"
"KIF5C",1.14384659458124,6.11371785263547,0.000132504537631315,0.00484002223580055,"KIF5C"
"KCNK1",1.11076467539718,6.02539798389765,0.000328265423271422,0.0102083913303369,"KCNK1"
"CXCR4",1.07272804681936,5.84091584389401,0.00119477825316672,0.0289583505735368,"CXCR4"
"TIAM1",1.05940619711321,6.20809208542818,0.000153045414087598,0.00539380972132192,"TIAM1"
"CEBPA",1.04562346048872,5.80582459608362,0.00209265365392703,0.0453145889972099,"CEBPA"
"CXCL2",1.04441804862227,6.63474095264243,5.70925752474633e-06,0.000352121856206304,"CXCL2"
"TLR4",1.02715898869802,5.85145431329406,0.00200815307790299,0.0440369907231572,"TLR4"
"SLC2A6",-1.02152722938454,5.85065119223747,0.00106964925295397,0.0269523461366408,"SLC2A6"
"CCNB1",-1.03258608921414,6.26465383190141,5.20210105480014e-05,0.00221817160820212,"CCNB1"
"KIF14",-1.03434001734422,5.97511795955547,0.000426923563283029,0.012748036025813,"KIF14"
"UBE2C",-1.05951736981987,5.96883336162871,0.000283865412051148,0.00902230511339867,"UBE2C"
"CENPE",-1.07919637343923,6.13474739551918,5.65474474441937e-05,0.00238177388899599,"CENPE"
"MELK",-1.11514167840199,6.12424910973077,3.67525972288509e-05,0.00164143119046008,"MELK"
"BUB1B",-1.11762384911821,6.19245245597271,1.98948602330848e-05,0.000967796217394875,"BUB1B"
"CCNB2",-1.1255442569583,6.06814324330651,7.16078428385934e-05,0.00289829946707846,"CCNB2"
"KIF20A",-1.26597889058678,5.95831385846958,2.03042428810228e-05,0.000985397717150903,"KIF20A"
